Report generated on: 03-22-2025 16:43:03
"API","","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"","coal and coke CO2 emissions (MMtonnes CO2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4002-8-BEN-MMTCD.A","        Benin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.007594839690209914","0.0036176752227077896","0.0002326672259440037","0.00011470494239039382","0.006024243080864738","0.003614815742500938","0.0029591920732023676","0.08966138672490429","0.0968371161936717","0.1852705853469507","0.27920067113280445","0.27877954345384576","0.2741752917196399","0.18204023358194416","0.3669144959028941","0.10284383877458006","0.37899023132921145"
"INTL.4002-8-BMU-MMTCD.A","        Bermuda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00016538339788043643","0.000009268691856299098"
"INTL.4002-8-BTN-MMTCD.A","        Bhutan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0016735491325827697","0.0017552702996045373","0.001853689910834709","0.001940977225925994","0.0018889843462762232","0.002007467389157341","0.002589351150212309","0.030611146439783105","0.03224720810689438","0.034477611380289014","0.03670801465368365","0.038938417927078285","0.04093108455795958","0.043042619510097545","0.07321473045847732","0.0769477141878077","0.07773345556406906","0.0785191969403319","0.08024127490597771","0.09876374450296803","0.11728621409995833","0.1203137965929857","0.13024880305642658","0.12162837205185682","0.1447294340762673","0.16441067885567362","0.16706853559021226","0.1669762703795141","0.16688400516883067","0.1588716334098695","0.16942823509552102","0.15913171223376688","0.14883518937199797","0.15148030360879708","0.16056531778898225","0.1680135559216311","0.21114791416852713","0.300254327977978","0.32539320460899535","0.32804318736205335","0.31528799501320093","0.3671512820149988","0.733712709128656","0.24075142081038073"
"INTL.4002-8-BOL-MMTCD.A","        Bolivia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00013003520099319084","0.000146048993879227","0.00016750427358793823","0.00007242077694780994","0.0000974311186772212","0.00008102979200334297","0.000048640294512046236","0.00010434587444541162","0.000007965260581514387","0.00015008446968650812","0.00006089468938015655","0.000053684522807199364","0.000003202758577207232","0.000011254493640306214","0.000011545944670832072","0.000009710764006092329","0.00009608275731621696","0.00008162422399527264","0.00004593108103158664","0.000014668634283609123","0.000008498519884619391","0.000023284054856296578","0.00009878588555537986","0","0","0","0","0","0","0.023608286901532206","0.023521396555236693"
"INTL.4002-8-BIH-MMTCD.A","        Bosnia and Herzegovina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","2.225246293780229","1.9285467879428382","2.076896540861521","2.4329359478663055","2.5071108243257707","8.089512026655624","10.436405117829151","10.046245267652989","11.032771124562252","10.869586396351623","11.618752648590995","9.890048088695547","8.120989975721649","6.2454011848779905","6.666560060592346","7.066826367604158","8.096101367318083","10.981034909714142","11.015416551845837","12.637233580984264","12.614024703507363","11.774773321068178","12.005182025972353","12.057402816816749","12.035070867716874","12.98968734878351","11.990419555364323","10.922723772199975","11.348841250813319","12.65644084133898","21.157317889887796","19.2921655683423"
"INTL.4002-8-BWA-MMTCD.A","        Botswana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8146099759123989","0.8796545875051713","0.9495084594571328","0.9276656914915299","0.9167557702703564","1.0171637261227464","1.1393986886006453","1.161208500912107","1.375161596131469","1.4821281138161633","1.6647677125274052","1.607885419304138","2.0522712571071913","1.955759068189251","1.891893675019229","1.9246731198989153","1.621831559210241","1.4871097094921701","1.7530714384884996","1.4988689516630798","1.9615235008313676","1.9113305940516228","1.9898995644752089","1.7908699149179443","1.849805131134268","2.0610875213007374","2.1382181360798","1.9340798675452786","1.7401513171775225","1.5806845362402062","1.5190644257222297","1.6280981683823803","1.4313470835493118","1.347532157538466","1.5847875961369755","2.578742771151065","3.554179489796565","3.3444758226371842","3.132777551112082","2.922402122110859","2.7104553061567493","3.064707013038973","4.781202366832584","2.818438653000359"
"INTL.4002-8-BRA-MMTCD.A","        Brazil","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.950474586347248","22.09276752690462","22.363603906470782","25.786262470681216","31.657268129976885","37.503072488187605","38.50485990251243","41.780234354296425","40.697104343779635","42.771346372360256","40.022670840953516","45.13412143136595","43.78928992953583","44.0724333613054","45.99394266305279","48.03083911501924","49.79323790605399","49.393598297926715","47.19021596855013","49.06919772661951","53.00828318774173","52.69962853343455","49.79243620555058","53.212419288791395","54.305478816384735","52.337687211729765","52.648305357632864","55.4988512279057","55.38836782022622","43.532140121806435","58.63264944198397","62.911727740259224","61.39384936306449","66.72425903917075","71.81747484026889","71.91489593553686","64.73237738681082","69.49602089547885","68.47503768728932","63.5109127932184","57.07704255418567","67.60673665042825","57.881868613781144","53.663956414406506"
"INTL.4002-8-VGB-MMTCD.A","        British Virgin Islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4002-8-BRN-MMTCD.A","        Brunei","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4021945194103317","1.4150722613240998","1.5291290251921326","1.440231179353418","0.9975038635401893"
"INTL.4002-8-BGR-MMTCD.A","        Bulgaria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.90392448112656","37.6744650785011","40.004601158485094","40.80453964457301","41.02099430021854","41.837818842421896","41.69064545071582","42.171767397467725","40.252338331464635","38.61491037728732","37.0040164034347","32.47133332625743","28.815428403219776","29.079658137208163","28.48870175677921","30.029162425137972","30.025984999447147","30.057494358019174","26.97676061576522","24.053601345890957","24.985257326165907","26.031130972343423","23.728540486725308","27.282864175979192","26.087512955612848","24.560137150705053","25.264490493239215","28.23723213533638","26.620403076467394","24.330068375180392","25.73867964190428","31.142039267547418","27.579388255290926","23.924811529908215","25.760571521954468","26.361268363804307","22.946487679611586","24.93636696355391","22.481787707990566","20.504259926208082","16.590076823758153","20.607431310732224","24.73962423150428","14.486159133534445"
"INTL.4002-8-BFA-MMTCD.A","        Burkina Faso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000006902215514599306"
"INTL.4002-8-MMR-MMTCD.A","        Burma","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.13160292146845842","0.18062442796076777","0.19385648034890815","0.19051567305230854","0.23320067601085365","0.23323519356022346","0.2640479005736295","0.20722660293453457","0.185918619004632","0.185918619004632","0.195388824538772","0.20959415431806805","0.1996630761905081","0.20180057226591935","0.17415757600257595","0.18994185114452153","0.1697580260923604","0.15630117010508188","0.36329324142742103","0.3514047682016501","0.42967099001219355","0.507970945729175","0.5303991505319496","0.6092006239003295","0.6983945060718315","0.8059645788582197","0.8135334303014695","0.821940819369321","0.7760386758854244","0.9595259187416934","0.8061935591870107","0.7293475556528345","0.6130654117845423","0.8160525768722113","0.9475563104374085","1.265148196037453","1.602702256148842","2.4260373800376613","3.184590344864506","4.897581325062547","4.990464606950158","5.162296029280384","2.7013438756589574","1.2397235189591025"
"INTL.4002-8-BDI-MMTCD.A","        Burundi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.004824581005665363","0.03237542296847794"
"INTL.4002-8-CPV-MMTCD.A","        Cabo Verde","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.335872017118231e-9"
"INTL.4002-8-KHM-MMTCD.A","        Cambodia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0005389974372882967","0.00012728578381647194","0.000053035743256863306","0.00006666110784267026","0.0000012342863885233642","0.00042593969695827957","0.0008506451075280358","0.047937752829192916","0.2778187944033341","0.30978558722256316","0.30555873877076023","0.37334622358586644","0.3880551816921672","0.4180330145677699","0.4897849443341965","0.9816433933724882","2.3817870153536793","2.7559300768748245","4.096287951911915","4.837274485966753","4.547038016808674","5.131460187688884","3.9888270973190934","8.02559184845276"
"INTL.4002-8-CMR-MMTCD.A","        Cameroon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00018741651050866882"
"INTL.4002-8-CAN-MMTCD.A","        Canada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.52209332108968","81.73090891064744","87.60929822745229","87.98885004160142","100.30117135493427","95.93186107484865","89.24043250091103","97.87064751199514","105.88017738793872","104.77782916255637","99.85737557053818","96.54505406364417","97.9822338216374","93.12190289218329","94.02159890106095","95.84974984071651","101.65600244031138","107.91673226828283","114.27529488824311","113.42434910432027","116.93948466131606","124.17336609476581","115.78985519563285","107.30299257711619","110.21140557343274","115.3268910366251","115.61272150683872","111.24986100447461","103.50411720933471","85.58160754483956","86.72846821691037","80.13400581703543","76.91765462989311","73.16480442824657","75.08775149857314","72.44071339754433","65.25122825728701","71.17705677406393","60.99567554201137","49.5047526793427","39.299868059590786","42.279986196691645","26.254915260861466","32.48646373000754"
"INTL.4002-8-CYM-MMTCD.A","        Cayman Islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
