Report generated on: 03-22-2025 16:44:10
"API","","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"","petroleum and other liquids CO2 emissions (MMtonnes CO2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4006-8-BGR-MMTCD.A","        Bulgaria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.4593","43","43","43","43","42","46","44","44","37","30","19","20","18","20","19","17","15","14","13","14","13","14","13","14","15","15","11","15","14","11.403113031720208","10.920372625418306","11.149674793670968","10.268103047480482","11.393931915588206","12.517573","12.657792","12.807040099999998","13.033218722","14.1429527","12.8724618","13.5753007","14.257056","13.958"
"INTL.4006-8-BFA-MMTCD.A","        Burkina Faso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.41825","0.4","0.4","0.4","0.4","0.4","0.5","0.5","0.5","0.5","0.5","0.6","0.6","0.6","0.7","0.7","0.7","1.1","1.1","1.1","1.1","1.1","1.1","1.1","1.2","1.1","1.2","1.3478056372621208","1.4","1.7","1.7","2.1206891156773064","2.453215462195835","3.0502191193353143","2.860502377199685","3.711134","3.42390431386","4.006278645985","4.391342618295","4.537","4.451","5.121","5.097","5.243"
"INTL.4006-8-MMR-MMTCD.A","        Burma","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.24946","3.3","3.4","4","4.2","4.2","2.6","2.4","2.4","2.5","2.3","2.4","2.5","2.5","2.9","2.8","3","3.8","4.5","5.6","5.6","5.1","5.3","5.4","6.1","6.5","6","5.330293103845341","5.6","4","3.849288666624145","3.495448412288971","6.404576898335017","8.611399580582692","13.252529649503282","16.504760059821805","12.49459790540517","19.694049","20.467959","20.379996","20.029493","17.85007","16.435002","17.39"
"INTL.4006-8-BDI-MMTCD.A","        Burundi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0981","0.1","0.09812","0.1","0.1","0.1","0.2","0.2","0.2","0.3","0.3","0.3","0.3","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.20939577608150153","0.4","0.2","0.2","0.26497051353854484","0.23381004685551252","0.28366474224877575","0.23925843324573232","0.390188","0.4312382","0.520898370002483","0.67983302","0.678","0.741","0.755","0.776","0.806"
"INTL.4006-8-CPV-MMTCD.A","        Cabo Verde","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.29932","0.3","0.1","0.1","0.2","0.2","0.05311","0.05748","0.08275","0.09044","0.09635","0.09921","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.1","0.1","0.1","0.3","0.3","0.3","0.36074545554990184","0.3","0.4","0.4","1.0034056032716485","0.8449791038524987","0.8400274854151795","0.909728097770877","0.905513","0.951232","0.9973569688970098","1.0015296339076718","0.852","0.634","0.662","0.689","0.714"
"INTL.4006-8-KHM-MMTCD.A","        Cambodia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.04096","0.04094","0.04094","0.4","0.4","0.4","0.4","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","1.4","1.5","1.9","2.1","2.1","2.2","2.5","2.7","3","3.4","3.6","3.9","4.08923674855811","4.2","4","4.962414048482443","5.017795423009551","5.278816874182191","5.257842498080808","5.458399136986306","6.067213","6.906744","7.121152000013239","7.794607999988951","9.04","9.292","9.475","10.14","10.753"
"INTL.4006-8-CMR-MMTCD.A","        Cameroon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.22945","2.3","2.7","2.7","2.7","2.7","3","2.8","2.7","3.2","3.4","3.5","3.6","2.8","3.1","3.1","3","3.1","3.1","3.2","3.3","3.2","3.2","3.4","3.4","3.4","3.8","4.276585320625717","4.1","4.8","5.4","6.041916500794992","5.363625332260352","4.4164403592969474","6.061463355067506","5.946235","5.507901","5.28505","5.094133","5.3847933","5.134111","5.137755","5.503585","5.658"
"INTL.4006-8-CAN-MMTCD.A","        Canada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","245.58162657033296","223.08775602436725","201.92324078976526","185.87587636797932","204.223527","200.796864","202.94105","210.960937","223.636442","233.509622","211.096652752","201.454200408","207.351473792","208.425019872","212.972801516","213.783912372","220.021450028","228.210463896","231.39337068","236.293883452","236.524755312","241.40650648","253.742252044","269.845294464","275.999198304","288.479819436","283.922747036","298.329351344","288.65743276","280.980956652","290.167547576","292.302061948","292.70252182","293.23718882","287.679925744","294.14639922","292.799031244","299.818995204","308.774971928","314.53529","267.90842","271.64219","292.28032","294.19557"
"INTL.4006-8-CYM-MMTCD.A","        Cayman Islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0978","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.4","0.4","0.4","0.5","0.469614249249517","0.5","0.6","0.6","0.6402384311207694","0.5910509625533386","0.5813747138987824","0.5923826396003007","0.637089","0.626893","0.7179269999893251","0.6672979999850652","0.815","0.69","0.676","0.748","0.737"
"INTL.4006-8-CAF-MMTCD.A","        Central African Republic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.13937","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.35419961079537016","0.3","0.3","0.3","0.3904564299501769","0.40103427461151675","0.4048933913902507","0.4089063233505474","0.415213","0.255898","0.268789","0.278282","0.286117","0.302117","0.308117","0.305117","0.313"
